iter	Passed	Remaining
0	1	114
1	2	98
2	2	88
3	3	82
4	4	82
5	5	80
6	5	78
7	6	76
8	7	74
9	8	74
10	9	74
11	9	73
12	10	72
13	11	70
14	12	69
15	13	68
16	13	67
17	14	67
18	15	67
19	16	66
20	17	66
21	19	67
22	19	66
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
