iter	Passed	Remaining
0	153	153141
1	155	77450
2	156	52046
3	158	39347
4	159	31720
5	161	26691
6	162	23093
7	164	20370
8	165	18246
9	167	16546
10	168	15155
11	169	13996
12	171	13012
13	172	12168
14	174	11463
15	176	10836
16	177	10273
17	179	9771
18	180	9319
19	181	8911
20	183	8545
21	184	8208
22	186	7901
23	187	7627
24	189	7379
25	190	7144
26	192	6922
27	193	6715
28	194	6522
29	196	6347
30	197	6179
31	199	6024
32	200	5875
33	201	5739
34	203	5615
35	205	5495
36	206	5382
37	208	5270
38	209	5162
39	211	5066
40	212	4969
41	213	4876
42	215	4790
43	216	4710
44	218	4631
45	219	4557
46	221	4484
47	222	4413
48	224	4350
49	225	4287
50	227	4226
51	228	4166
52	229	4109
53	231	4054
54	233	4006
55	234	3957
56	236	3913
57	238	3878
58	240	3832
59	241	3785
60	242	3740
61	244	3697
62	246	3659
63	247	3621
64	249	3584
65	250	3548
66	252	3520
67	254	3490
68	257	3474
69	259	3444
70	262	3439
71	265	3425
72	267	3399
73	271	3398
74	273	3373
75	277	3375
76	281	3371
77	282	3344
78	284	3318
79	286	3290
80	287	3261
81	288	3233
82	289	3202
83	291	3182
84	294	3167
85	295	3144
86	297	3121
87	299	3099
88	300	3079
89	302	3058
90	304	3038
91	306	3021
92	308	3004
93	309	2986
94	311	2965
95	312	2946
96	314	2926
97	315	2907
98	317	2887
99	319	2871
100	320	2856
101	322	2838
102	323	2821
103	325	2806
104	327	2789
105	328	2771
106	330	2754
107	331	2737
108	332	2721
109	334	2706
110	336	2693
111	337	2679
112	339	2664
113	340	2649
114	342	2634
115	343	2619
116	344	2602
117	346	2587
118	347	2574
119	349	2562
120	351	2550
121	352	2535
122	353	2521
123	355	2508
124	356	2494
125	358	2485
126	359	2470
127	360	2457
128	362	2447
129	364	2438
130	365	2426
131	367	2415
132	368	2403
133	370	2392
134	371	2381
135	373	2370
136	374	2358
137	375	2348
138	377	2340
139	379	2331
140	381	2321
141	382	2308
142	383	2298
143	384	2287
144	386	2278
145	387	2268
146	389	2259
147	391	2254
148	393	2248
149	395	2240
150	397	2233
151	398	2224
152	400	2216
153	401	2207
154	403	2200
155	405	2192
156	407	2186
157	409	2179
158	411	2175
159	412	2168
160	414	2158
161	416	2153
162	418	2146
163	419	2139
164	421	2133
165	423	2127
166	425	2121
167	427	2117
168	429	2109
169	430	2103
170	432	2096
171	434	2089
172	436	2086
173	438	2080
174	440	2075
175	442	2070
176	444	2064
